username, userid, password, affiliate
user0,1234,password,Group1
user1,1234,password,Group1
user2,1234,password,Group1
user3,1234,password,Group1
user4,1234,password,Group1
user5,1234,password,Group1
user6,1234,password,Group1
user7,1234,password,Group1
user8,1234,password,Group1
user9,1234,password,Group1
user10,1234,password,Group2
user11,1234,password,Group2
user12,1234,password,Group2
user13,1234,password,Group2
user14,1234,password,Group2
user15,1234,password,Group2
user16,1234,password,Group2
user17,1234,password,Group2
user18,1234,password,Group2
user19,1234,password,Group2
user20,1234,password,Group3
user21,1234,password,Group3
user22,1234,password,Group3
user23,1234,password,Group3
user24,1234,password,Group3
user25,1234,password,Group3
user26,1234,password,Group3
user27,1234,password,Group3
user28,1234,password,Group3
user29,1234,password,Group3
user30,1234,password,Group4
user31,1234,password,Group4
user32,1234,password,Group4
user33,1234,password,Group4
user34,1234,password,Group4
user35,1234,password,Group4
user36,1234,password,Group4
user37,1234,password,Group4
user38,1234,password,Group4
user39,1234,password,Group4
